factor,direction,category,z_score_weight
Assets Per Employee,TRUE,Garbage1,1
Earnings Per Share Growth - Period,TRUE,Garbage2,1
StableValue,TRUE,Garbage3,1
Net Sales%Working Capital,TRUE,Garbage4,1
LTGrowth,FALSE,Garbage5,1
Long Term Debt % Common Equity (GAAP),TRUE,Garbage6,1
Net Sales / Revenues - 5 Yr Annual Growth,FALSE,Garbage7,1
Retained Earnings % Equity,FALSE,Garbage8,1
Number of Analyst who cover the company Yoy Growth,TRUE,Garbage9,1
Return On Equity - Per Share - Current,FALSE,Garbage10,1
