factor,direction,category,z_score_weight
Excess_RSI,TRUE,Garbage1,1
Price Trend - Year-To-Date,TRUE,Garbage2,1
Earning Assets % Total Available Funds,TRUE,Garbage3,1
Turnover Rate,TRUE,Garbage4,1
Upside Potential,FALSE,Garbage5,1
Net Interest Income % Average Deposits,TRUE,Garbage6,1
Net Sales To Gross Fixed Assets,FALSE,Garbage7,1
Claims & Claim Expense % Net Premiums Written,FALSE,Garbage8,1
Total Loans % Total Assets,TRUE,Garbage9,1
Total Debt % Total Capital & Short Term Debt,FALSE,Garbage10,1
