factor,direction,category,z_score_weight
Preferred Stock % Total Capital,TRUE,Garbage1,1
Retained Earnings % Equity,TRUE,Garbage2,1
Total Assets - 5 Yr Annual Growth,TRUE,Garbage3,1
Savings Deposits % Total Deposits,TRUE,Garbage4,1
Long Term Debt % Total Capital,FALSE,Garbage5,1
Net Income - 5 Yr Annual Growth,TRUE,Garbage6,1
Combined Ratio,FALSE,Garbage7,1
Net Sales To Gross Fixed Assets,FALSE,Garbage8,1
Earning Assets % Total Assets,TRUE,Garbage9,1
Closely Held Shares - Current,FALSE,Garbage10,1
