factor,direction,category,z_score_weight
Fixed Assets % Common Equity,TRUE,Garbage1,1
Yield On Investment,TRUE,Garbage2,1
Price Trend - Previous Quarter,TRUE,Garbage3,1
Invested Assets % Liabilities,TRUE,Garbage4,1
Net Sales/Revenue Growth - Period,FALSE,Garbage5,1
Net Margin - 5 Yr Growth Rate,TRUE,Garbage6,1
The 4 week change in the Consensus Estimate divided by Price,FALSE,Garbage7,1
Price Trend - Year-To-Date,FALSE,Garbage8,1
Dividend Yield - High,TRUE,Garbage9,1
Net Loan Losses % Total Loans,FALSE,Garbage10,1
