factor,direction,category,z_score_weight
Earnings Per Share - Fiscal - 1 Yr Annual Growth,TRUE,Garbage1,1
Long Term Debt % Common Equity,TRUE,Garbage2,1
Dividend Payout Per Share,TRUE,Garbage3,1
Expense Ratio,TRUE,Garbage4,1
Dividend Yield - High,FALSE,Garbage5,1
Unearned Premium % Total Capital,TRUE,Garbage6,1
Insurance Reserves - 5 Yr Annual Growth,FALSE,Garbage7,1
Net Sales / Revenues - 1 Yr Annual Growth,FALSE,Garbage8,1
Upside Potential,TRUE,Garbage9,1
Employees - 1 Yr Annual Growth,FALSE,Garbage10,1
