factor,direction,category,z_score_weight
Cash & Equivalents % Total Current Assets,TRUE,Garbage1,1
Total Assets - 1 Yr Annual Growth,TRUE,Garbage2,1
Demand Deposits % Total Deposits,TRUE,Garbage3,1
Cash Flow/Sales,TRUE,Garbage4,1
Total Debt % Total Capital & Short Term Debt,FALSE,Garbage5,1
ValueGrowth,TRUE,Garbage6,1
Inverse value of Equity Duration,FALSE,Garbage7,1
Provision For Loan Losses % Total Loans,FALSE,Garbage8,1
Unearned Premium % Total Capital,TRUE,Garbage9,1
Quick Ratio,FALSE,Garbage10,1
