factor,direction,category,z_score_weight
Interest Rate - Estimated Average,TRUE,Garbage1,1
Total Assets - 1 Yr Annual Growth,TRUE,Garbage2,1
Cash Dividends/Cash Flow,TRUE,Garbage3,1
LTGrowth,TRUE,Garbage4,1
Demand Deposits % Total Deposits,FALSE,Garbage5,1
Net Interest Income % Average Deposits,TRUE,Garbage6,1
Foreign Assets % Total Assets,FALSE,Garbage7,1
Inventories % Total Current Assets,FALSE,Garbage8,1
Total Assets - 5 Yr Annual Growth,TRUE,Garbage9,1
Return On Equity - Per Share,FALSE,Garbage10,1
